Time,Deep,Length,HRT,COD,TN,NH4-N,C/N,c(A),CSC,XLogP3,WI,RA(P),RA(F),RA(B),RA(A),RR(NH4-N)
90,12.5,45,72,299.46,26.8,24.07,11.17,100,11,-0.1,885,48.0057,1.8966,9.9499,2.3363,0.6979
90,45,12.5,72,299.46,26.8,24.07,11.17,100,11,-0.1,885,62.3032,1.6632,6.7403,0.9921,0.6979
84,10,30,72,66.6,3.6,2.35,18.5,0.18,11,0.2,943,50.8357,0.9988,10.7969,7.0869,0.7745
84,10,90,72,66.6,3.6,2.35,18.5,0.18,11,0.2,943,46.2696,1.4269,11.2249,2.616,0.7745
84,50,30,72,66.6,3.6,2.35,18.5,0.18,11,0.2,943,38.707,0.6659,6.9918,1.522,0.7745
84,50,90,72,66.6,3.6,2.35,18.5,0.18,11,0.2,943,42.417,1.522,4.7088,1.3793,0.7745
84,10,30,72,66.6,3.6,2.35,18.5,0.18,11,0.2,940,47.5062,3.0916,7.6101,5.8503,0.8085
84,10,90,72,66.6,3.6,2.35,18.5,0.18,11,0.2,940,47.5062,10.4163,9.5602,4.0904,0.8085
84,50,30,72,66.6,3.6,2.35,18.5,0.18,11,0.2,940,37.8509,1.3793,5.8027,2.5684,0.8085
84,50,90,72,66.6,3.6,2.35,18.5,0.18,11,0.2,940,40.3242,1.8074,6.4686,2.3782,0.8085
84,10,30,72,66.6,3.6,2.35,18.5,0.17,11,0.2,948,52.657,0,8.1598,8.3506,0.834
84,10,90,72,66.6,3.6,2.35,18.5,0.17,11,0.2,948,43.7814,0,12.1203,2.3859,0.834
84,50,30,72,66.6,3.6,2.35,18.5,0.17,11,0.2,948,50.2711,0,7.2531,2.6245,0.834
84,50,90,72,66.6,3.6,2.35,18.5,0.17,11,0.2,948,48.935,0,8.0643,1.7178,0.834
84,10,30,72,66.6,3.6,2.35,18.5,0.18,11,0.2,936,40.8229,0,31.0643,5.1535,0.834
84,10,90,72,66.6,3.6,2.35,18.5,0.18,11,0.2,936,42.3022,0,23.2863,1.0975,0.834
84,50,30,72,66.6,3.6,2.35,18.5,0.18,11,0.2,936,39.2482,0,8.3029,2.8631,0.834
84,50,90,72,66.6,3.6,2.35,18.5,0.18,11,0.2,936,45.3561,0,8.112,1.527,0.834
45,35,20,300,309.72,27.36,27.36,11.32,1600,111,-0.7,1313,57.35,2.6726,20.1748,0,0.8249
45,35,140,300,309.72,27.36,27.36,11.32,1600,111,-0.7,1313,68.1588,4.8959,10.7615,0,0.8249
5,5,50,45.6,486.17,156.76,135.5,3.1,530.58,110,-0.1,2309,21.26,0,15.51,0,0.848
30,5,50,45.6,486.17,156.76,135.5,3.1,530.58,110,-0.1,2309,34.51,0,14.97,0,0.848
60,5,50,45.6,486.17,156.76,135.5,3.1,530.58,110,-0.1,2309,42.88,0,15.05,0,0.848
90,5,50,45.6,486.17,156.76,135.5,3.1,530.58,110,-0.1,2309,33.13,0,18.67,0,0.848
5,5,50,139.2,486.17,156.76,135.5,3.1,530.58,110,-0.1,2309,17.07,0,5.57,0,0.495
30,5,50,139.2,486.17,156.76,135.5,3.1,530.58,110,-0.1,2309,20.12,0,8.1,0,0.495
60,5,50,139.2,486.17,156.76,135.5,3.1,530.58,110,-0.1,2309,30.4,0,12.38,0,0.495
90,5,50,139.2,486.17,156.76,135.5,3.1,530.58,110,-0.1,2309,27.52,0,17.72,0,0.495
5,5,50,38.4,486.17,156.76,135.5,3.1,530.58,110,-0.1,2309,19.95,0,13.16,0,0.848
30,5,50,38.4,486.17,156.76,135.5,3.1,530.58,110,-0.1,2309,31.54,0,11.35,0,0.848
60,5,50,38.4,486.17,156.76,135.5,3.1,530.58,110,-0.1,2309,36.01,0,13.23,0,0.848
90,5,50,38.4,486.17,156.76,135.5,3.1,530.58,110,-0.1,2309,38.18,0,16.74,0,0.848
5,5,50,117.6,486.17,156.76,135.5,3.1,530.58,110,-0.1,2309,23.03,0,6.29,0,0.495
30,5,50,117.6,486.17,156.76,135.5,3.1,530.58,110,-0.1,2309,22.5,0,12.01,0,0.495
60,5,50,117.6,486.17,156.76,135.5,3.1,530.58,110,-0.1,2309,23.2,0,9.49,0,0.495
90,5,50,117.6,486.17,156.76,135.5,3.1,530.58,110,-0.1,2309,28.18,0,10.66,0,0.495
165,15,15,48,601.92,33.34,20.67,18.05,103.08,1,0.9,535,54.4946,0,23.1285,14.7166,0
165,40,40,48,601.92,33.34,20.67,18.05,103.08,1,0.9,535,73.1399,0,0,0,0.8904
165,65,65,48,601.92,33.34,20.67,18.05,103.08,1,0.9,535,70.9891,0,0,0,0.969
165,65,105,48,601.92,33.34,20.67,18.05,103.08,1,0.9,535,55.4522,0,0,0,0.9704
165,40,130,48,601.92,33.34,20.67,18.05,103.08,1,0.9,535,46.238,0,0,0,0.9885
165,15,155,48,601.92,33.34,20.67,18.05,103.08,1,0.9,535,41.6006,0,0,0,0.9885
165,15,15,48,557.54,33.75,21.07,16.52,0,0,0,0,56.9246,0,27.75,0,0
165,40,40,48,557.54,33.75,21.07,16.52,0,0,0,0,55.4416,0,0,0,0.8491
165,65,65,48,557.54,33.75,21.07,16.52,0,0,0,0,64.8411,0,0,8.6151,0.9588
165,65,105,48,557.54,33.75,21.07,16.52,0,0,0,0,52.1576,0,0,0,0.9588
165,40,130,48,557.54,33.75,21.07,16.52,0,0,0,0,54.9129,0,0,0,0.9765
165,15,155,48,557.54,33.75,21.07,16.52,0,0,0,0,41.8928,0,0,0,0.9895
70,5,73,72,374.88,42.98,42.98,8.72,100,1,0.9,535,79.0713,4.9832,2.6554,11.0991,0.765
70,39,39,72,374.88,42.98,42.98,8.72,100,1,0.9,535,46.2031,18.9338,3.6684,7.1002,0.765
80,25,25,72,100,39,25,2.56,0,0,0,0,25.11,15.9502,4.8476,16.3524,0.6053
50,17.5,17.5,240,60,20,8,3,154.6,1,0.9,535,22.0325,1.939,4.7375,50.4331,0.5182
100,17.5,17.5,240,60,20,8,3,154.6,1,0.9,535,33.9197,1.9642,7.183,24.9192,0.5182
50,17.5,17.5,240,60,20,8,3,154.6,1,0.9,535,22.538,15.227,4.142,38.08,0.708
100,17.5,17.5,240,60,20,8,3,154.6,1,0.9,535,43.433,4.925,9.205,26.893,0.708
365,40,40,48,559.79,32.34,20.63,17.31,100,1,0.9,535,73.0502,0,5.784,0,0.8589
365,40,40,48,559.79,32.34,20.63,17.31,100,1,0.9,535,46.5436,0,5.0151,0,0.9167
365,40,40,48,559.79,32.34,20.63,17.31,0,0,0,0,67.8243,0,11.8146,0,0.8754
365,40,40,48,559.79,32.34,20.63,17.31,0,0,0,0,56.0824,0,6.5543,0,0.9869
84,10,20,72,43.26,12.68,1.54,3.41,0,0,0,0,45.0357,13.3328,8.0755,5.8065,0.8817
84,10,20,72,43.26,12.68,1.54,3.41,0.1,10,-0.4,1484,44.6206,13.0037,7.2029,7.2216,0.8796
84,10,20,72,43.26,12.68,1.54,3.41,10,10,-0.4,1484,42.5102,15.5411,8.966,6.0993,0.8826
84,10,20,72,43.26,12.68,1.54,3.41,1000,10,-0.4,1484,56.6241,5.8553,14.0284,4.4403,0.8834
84,10,20,72,43.26,12.68,1.54,3.41,0,0,0,0,50.293,11.113,6.7458,9.5034,0.7586
84,10,20,72,43.26,12.68,1.54,3.41,0.1,10,-0.4,1484,48.4144,13.9552,6.2091,5.2088,0.7946
84,10,20,72,43.26,12.68,1.54,3.41,10,10,-0.4,1484,49.9026,17.4928,5.8188,4.4565,0.7633
84,10,20,72,43.26,12.68,1.54,3.41,1000,10,-0.4,1484,42.7298,16.0046,8.966,6.8312,0.8335
30,9,9,72,56.88,11.81,1.84,4.82,0,0,0,0,93.5409,1.0646,1.7235,3.0675,0.89
30,9,9,72,56.88,11.81,1.84,4.82,86.2,10,-0.4,1484,73.5614,2.3695,6.7744,11.5525,0.788
30,9,9,72,56.88,11.81,1.84,4.82,86.9,100,-2,2350,97.6805,0.5526,0.7727,0.3578,0.829
30,9,9,72,56.88,11.81,1.84,4.82,153.5,110,-1.1,1885,92.3093,2.0159,2.8841,1.3392,0.838
0,60,60,108,300,48,48,6.25,300,1,0.4,598,0,0,14.4545,3.2432,0.6082
0,32.5,32.5,108,300,48,48,6.25,300,1,0.4,598,0,0,14.7347,13.1331,0.6082
10,60,60,108,300,48,48,6.25,300,1,0.4,598,0,0,17.5776,10.5305,0.5054
10,32.5,32.5,108,300,48,48,6.25,300,1,0.4,598,0,0,16.8569,12.3724,0.5054
30,60,60,108,300,48,48,6.25,300,1,0.4,598,0,0,11.7718,21.7017,0.4906
30,32.5,32.5,108,300,48,48,6.25,300,1,0.4,598,0,0,4.6046,40,0.4906
60,60,60,108,300,48,48,6.25,300,1,0.4,598,0,0,13.1331,15.2152,0.5372
60,32.5,32.5,108,300,48,48,6.25,300,1,0.4,598,0,0,12.6927,17.5776,0.5372
0,60,60,108,300,48,48,6.25,0,0,0,0,0,0,15.6557,2.1221,0.4877
0,32.5,32.5,108,300,48,48,6.25,0,0,0,0,0,0,14.0941,11.7718,0.4877
10,60,60,108,300,48,48,6.25,0,0,0,0,0,0,15.6557,9.2492,0.5104
10,32.5,32.5,108,300,48,48,6.25,0,0,0,0,0,0,17.2973,17.2973,0.5104
30,60,60,108,300,48,48,6.25,0,0,0,0,0,0,10.971,28.8689,0.4036
30,32.5,32.5,108,300,48,48,6.25,0,0,0,0,0,0,12.3724,27.2673,0.4036
60,60,60,108,300,48,48,6.25,0,0,0,0,0,0,11.7718,22.5425,0.4095
60,32.5,32.5,108,300,48,48,6.25,0,0,0,0,0,0,22.5425,10.5305,0.4095
30,5,5,52.8,400,35,30,11.43,0,10,0,0,53.0599,0.7464,6.6,1.5399,0.7971
25,60,60,10.6,400,35,30,11.43,400,10,-0.7,1359,26.7762,5.2376,9.1535,3.6785,0.7616
30,5,5,52.8,400,35,30,11.43,0,10,0,0,82.6385,1.0886,14.9707,0,0.7687
25,60,60,10.6,400,35,30,11.43,400,10,-0.7,1359,21.3868,1.53,3.1225,1.2832,0.2744
30,5,5,52.8,400,35,30,11.43,0,10,0,0,46.7943,0.7892,6.6,0.8982,0.6367
25,60,60,10.6,400,35,30,11.43,400,10,-0.7,1359,14.1153,1.53,2.9086,1.0693,0.2929
30,5,5,52.8,400,35,30,11.43,0,10,0,0,29.0625,0,12.5327,2.0104,0.993
25,60,60,10.6,400,35,30,11.43,400,10,-0.7,1359,22.6272,1.53,5.0045,0,0.2967
0,23,23,72,180,30,30,6,0,0,0,0,33.1658,0,4.6584,35.8184,0.9683
34,23,23,72,180,30,30,6,0,0,0,0,37.8369,0,5.9243,24.1892,0.9715
65,23,23,72,180,30,30,6,0,0,0,0,34.9549,0,3.8398,35.7509,0.9381
100,23,23,72,180,30,30,6,0,0,0,0,24.7098,0,2.709,47.0846,0.9996
190,23,23,72,180,30,30,6,0,0,0,0,39.6217,0,2.017,24.6028,0.9729
0,23,23,72,180,30,30,6,100,1,0.9,535,34.364,0,5.2323,32.4851,0.9687
34,23,23,72,180,30,30,6,100,1,0.9,535,43.7569,0,6.0762,26.0037,0.8784
65,23,23,72,180,30,30,6,100,1,0.9,535,30.018,0,4.3799,35.0589,0.6805
100,23,23,72,180,30,30,6,100,1,0.9,535,20.2032,0,3.3166,50.5194,0.9531
190,23,23,72,180,30,30,6,100,1,0.9,535,22.1781,0,2.3376,37.9028,0.9742
0,23,23,72,180,30,30,6,0,1,0,0,32.3472,0,4.3461,38.4261,0.8687
34,23,23,72,180,30,30,6,0,1,0,0,43.6557,0,6.4137,23.7167,0.9207
65,23,23,72,180,30,30,6,0,1,0,0,35.9929,0,4.1942,33.3288,0.6652
100,23,23,72,180,30,30,6,0,1,0,0,28.3471,0,3.6373,43.9875,0.959
190,23,23,72,180,30,30,6,0,1,0,0,20.5915,0,1.8819,43.0929,0.943
0,23,23,72,180,30,30,6,100,1,0.9,535,39.3631,0,4.7006,32.9492,0.8727
34,23,23,72,180,30,30,6,100,1,0.9,535,39.1492,0,8.0678,29.2696,0.8624
65,23,23,72,180,30,30,6,100,1,0.9,535,38.3644,0,5.266,34.122,0.6079
100,23,23,72,180,30,30,6,100,1,0.9,535,27.4863,0,3.6457,44.266,0.7988
190,23,23,72,180,30,30,6,100,1,0.9,535,21.7223,0,1.0718,43.2111,0.9768
30,30,30,24,0,0,0,0,0,0,0,0,63.9504,10.4447,11.2673,4.5629,0
30,30,30,24,0,0,0,0,0,0,0,0,70.833,7.0582,5.1332,1.0694,0
30,30,30,24,0,0,0,0,100,100,-2,2350,58.1782,13.9025,16.7543,1.6398,0
30,30,30,24,0,0,0,0,100,100,-2,2350,48.09,14.5089,21.1389,1.1051,0
70,16.7,33.3,72,187.44,7.96,7.96,23.55,100,10,-1.1,1234,75.239,10.5672,4.0643,3.5598,0.7266
70,33.3,16.7,72,187.44,7.96,7.96,23.55,100,10,-1.1,1234,46.4244,22.4518,12.6414,4.681,0.7266
60,13.5,24.5,72,374.88,42.98,42.98,8.72,100,1,-0.1,536,27.8386,11.604,9.0435,0,0.6906
60,13.5,24.5,36,374.88,42.98,42.98,8.72,100,1,-0.1,536,25.3326,13.7286,3.977,0,0.6906
30,26.5,26.5,36,120,25,20,4.8,0,0,0,0,63.636,11.8378,10.8065,1.2107,0.6906
90,26.5,26.5,36,120,25,20,4.8,0,0,0,0,68.0752,10.2684,6.6364,1.8384,0.6906
160,26.5,26.5,36,120,25,20,4.8,0,0,0,0,49.1078,3.5872,5.9189,6.726,0.6906
230,26.5,26.5,36,120,25,20,4.8,0,0,0,0,45.8345,5.4257,9.7303,5.7395,0.6906
30,26.5,26.5,36,120,25,20,4.8,1001,1,0.9,534,61.849,8.6426,8.0418,1.8487,0.6906
90,26.5,26.5,36,120,25,20,4.8,1001,1,0.9,534,65.5002,3.6974,12.3399,0.5546,0.6906
160,26.5,26.5,36,120,25,20,4.8,1001,1,0.9,534,64.9918,4.2058,3.6049,4.6679,0.6906
230,26.5,26.5,36,120,25,20,4.8,1001,1,0.9,534,47.5218,7.2099,5.8233,5.2687,0.6906
30,5,5,24,607,31.18,20.34,19.47,100,1,0.9,535,42.6334,19.7879,4.6192,0,0.9832
30,40,40,24,607,31.18,20.34,19.47,100,1,0.9,535,73.638,0,0,0,0.9832
