Number,c(A)(¦Ìg/L),Antibiotic1,Concentration(¦Ìg/L),Removal rate,Antibiotic2,Concentration(¦Ìg/L),Removal rate,Antibiotic3,Concentration(¦Ìg/L),Removal rate,Antibiotic4,Concentration(¦Ìg/L),Removal rate,Antibiotic5,Concentration(¦Ìg/L),Removal rate,Antibiotic6,Concentration(¦Ìg/L),Removal rate,Antibiotic7,Concentration(¦Ìg/L),Removal rate,Antibiotic8,Concentration(¦Ìg/L),Removal rate
1,4000.00 ,SMX,2000,0.9825,CIP,2000,0.9961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4000.00 ,SMX,2000,0.9825,CIP,2000,0.9961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.18 ,ENR,0.044464,0.776,SMZ,0.132492013,0.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.18 ,ENR,0.044464,0.776,SMZ,0.132492013,0.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.18 ,ENR,0.044464,0.776,SMZ,0.132492013,0.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.18 ,ENR,0.044464,0.776,SMZ,0.132492013,0.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.18 ,ENR,0.043650794,0.811,SMZ,0.131965812,0.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.18 ,ENR,0.043650794,0.811,SMZ,0.131965812,0.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.18 ,ENR,0.043650794,0.811,SMZ,0.131965812,0.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.18 ,ENR,0.043650794,0.811,SMZ,0.131965812,0.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.17 ,ENR,0.043251029,0.757,SMZ,0.125318627,0.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.17 ,ENR,0.043251029,0.757,SMZ,0.125318627,0.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.17 ,ENR,0.043251029,0.757,SMZ,0.125318627,0.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.17 ,ENR,0.043251029,0.757,SMZ,0.125318627,0.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.18 ,ENR,0.04295082,0.756,SMZ,0.133785558,0.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.18 ,ENR,0.04295082,0.756,SMZ,0.133785558,0.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.18 ,ENR,0.04295082,0.756,SMZ,0.133785558,0.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.18 ,ENR,0.04295082,0.756,SMZ,0.133785558,0.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1600.00 ,NFX,200,0.9969238,CIP,200,0.9957983,ENR,200,0.986232,SDZ,200,0.8725615,SMZ,200,0.9980492,ST,200,0.9552821,OTC,200,0.9974865,TET,200,0.6187725
20,1600.00 ,NFX,200,0.9969238,CIP,200,0.9957983,ENR,200,0.986232,SDZ,200,0.8725615,SMZ,200,0.9980492,ST,200,0.9552821,OTC,200,0.9974865,TET,200,0.6187725
21,530.58 ,OTC,280.28,0.9754,DIF,250.3,0.9915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,530.58 ,OTC,280.28,0.9754,DIF,250.3,0.9915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,530.58 ,OTC,280.28,0.9754,DIF,250.3,0.9915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,530.58 ,OTC,280.28,0.9754,DIF,250.3,0.9915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,530.58 ,OTC,280.28,0.9606,DIF,250.3,0.9857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,530.58 ,OTC,280.28,0.9606,DIF,250.3,0.9857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,530.58 ,OTC,280.28,0.9606,DIF,250.3,0.9857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,530.58 ,OTC,280.28,0.9606,DIF,250.3,0.9857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,530.58 ,OTC,280.28,0.9634,DIF,250.3,0.9835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,530.58 ,OTC,280.28,0.9634,DIF,250.3,0.9835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,530.58 ,OTC,280.28,0.9634,DIF,250.3,0.9835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,530.58 ,OTC,280.28,0.9634,DIF,250.3,0.9835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,530.58 ,OTC,280.28,0.9202,DIF,250.3,0.9774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,530.58 ,OTC,280.28,0.9202,DIF,250.3,0.9774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,530.58 ,OTC,280.28,0.9202,DIF,250.3,0.9774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,530.58 ,OTC,280.28,0.9202,DIF,250.3,0.9774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,103.08 ,SMX,103.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,103.08 ,SMX,103.08,0.84027186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,103.08 ,SMX,103.08,0.973986936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,103.08 ,SMX,103.08,0.974740784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
