Number,Size,Type,Time(days),Deep(cm),Length(cm),HRT(hours),COD(mg/L),TN(mg/L),NH3-N(mg/L),C/N,c(A)(¦Ìg/L),CSC,XLogP3,WI,RA(P),RA(F),RA(B),RA(A),RE(TN),RE(A)
1,laboratory-scale systems,VFCW,90 ,12.5 ,45.0 ,72.0 ,299.46 ,26.80 ,24.07 ,11.17 ,4000.00 ,11 ,-0.1 ,885 ,48.0057 ,1.8966 ,9.9499 ,2.3363 ,0.6451 ,0.9893 
2,laboratory-scale systems,VFCW,90 ,45.0 ,12.5 ,72.0 ,299.46 ,26.80 ,24.07 ,11.17 ,4000.00 ,11 ,-0.1 ,885 ,62.3032 ,1.6632 ,6.7403 ,0.9921 ,0.6451 ,0.9893 
3,laboratory-scale systems,HFCW,720 ,10.0 ,30.0 ,72.0 ,66.60 ,3.60 ,2.35 ,18.50 ,0.18 ,11 ,0.2 ,943 ,50.8357 ,0.9988 ,10.7969 ,7.0869 ,0.8028 ,0.7094 
4,laboratory-scale systems,HFCW,720 ,10.0 ,90.0 ,72.0 ,66.60 ,3.60 ,2.35 ,18.50 ,0.18 ,11 ,0.2 ,943 ,46.2696 ,1.4269 ,11.2249 ,2.6160 ,0.8028 ,0.7094 
5,laboratory-scale systems,HFCW,720 ,50.0 ,30.0 ,72.0 ,66.60 ,3.60 ,2.35 ,18.50 ,0.18 ,11 ,0.2 ,943 ,38.7070 ,0.6659 ,6.9918 ,1.5220 ,0.8028 ,0.7094 
6,laboratory-scale systems,HFCW,720 ,50.0 ,90.0 ,72.0 ,66.60 ,3.60 ,2.35 ,18.50 ,0.18 ,11 ,0.2 ,943 ,42.4170 ,1.5220 ,4.7088 ,1.3793 ,0.8028 ,0.7094 
7,laboratory-scale systems,HFCW,720 ,10.0 ,30.0 ,72.0 ,66.60 ,3.60 ,2.35 ,18.50 ,0.18 ,11 ,0.2 ,940 ,47.5062 ,3.0916 ,7.6101 ,5.8503 ,0.7861 ,0.6893 
8,laboratory-scale systems,HFCW,720 ,10.0 ,90.0 ,72.0 ,66.60 ,3.60 ,2.35 ,18.50 ,0.18 ,11 ,0.2 ,940 ,47.5062 ,10.4163 ,9.5602 ,4.0904 ,0.7861 ,0.6893 
9,laboratory-scale systems,HFCW,720 ,50.0 ,30.0 ,72.0 ,66.60 ,3.60 ,2.35 ,18.50 ,0.18 ,11 ,0.2 ,940 ,37.8509 ,1.3793 ,5.8027 ,2.5684 ,0.7861 ,0.6893 
10,laboratory-scale systems,HFCW,720 ,50.0 ,90.0 ,72.0 ,66.60 ,3.60 ,2.35 ,18.50 ,0.18 ,11 ,0.2 ,940 ,40.3242 ,1.8074 ,6.4686 ,2.3782 ,0.7861 ,0.6893 
11,laboratory-scale systems,HFCW,720 ,10.0 ,30.0 ,72.0 ,66.60 ,3.60 ,2.35 ,18.50 ,0.17 ,11 ,0.2 ,948 ,52.6570 ,0.0000 ,8.1598 ,8.3506 ,0.8361 ,0.6343 
12,laboratory-scale systems,HFCW,720 ,10.0 ,90.0 ,72.0 ,66.60 ,3.60 ,2.35 ,18.50 ,0.17 ,11 ,0.2 ,948 ,43.7814 ,0.0000 ,12.1203 ,2.3859 ,0.8361 ,0.6343 
13,laboratory-scale systems,HFCW,720 ,50.0 ,30.0 ,72.0 ,66.60 ,3.60 ,2.35 ,18.50 ,0.17 ,11 ,0.2 ,948 ,50.2711 ,0.0000 ,7.2531 ,2.6245 ,0.8361 ,0.6343 
14,laboratory-scale systems,HFCW,720 ,50.0 ,90.0 ,72.0 ,66.60 ,3.60 ,2.35 ,18.50 ,0.17 ,11 ,0.2 ,948 ,48.9350 ,0.0000 ,8.0643 ,1.7178 ,0.8361 ,0.6343 
15,laboratory-scale systems,HFCW,720 ,10.0 ,30.0 ,72.0 ,66.60 ,3.60 ,2.35 ,18.50 ,0.18 ,11 ,0.2 ,936 ,40.8229 ,0.0000 ,31.0643 ,5.1535 ,0.8361 ,0.5948 
16,laboratory-scale systems,HFCW,720 ,10.0 ,90.0 ,72.0 ,66.60 ,3.60 ,2.35 ,18.50 ,0.18 ,11 ,0.2 ,936 ,42.3022 ,0.0000 ,23.2863 ,1.0975 ,0.8361 ,0.5948 
17,laboratory-scale systems,HFCW,720 ,50.0 ,30.0 ,72.0 ,66.60 ,3.60 ,2.35 ,18.50 ,0.18 ,11 ,0.2 ,936 ,39.2482 ,0.0000 ,8.3029 ,2.8631 ,0.8361 ,0.5948 
18,laboratory-scale systems,HFCW,720 ,50.0 ,90.0 ,72.0 ,66.60 ,3.60 ,2.35 ,18.50 ,0.18 ,11 ,0.2 ,936 ,45.3561 ,0.0000 ,8.1120 ,1.5270 ,0.8361 ,0.5948 
